artigo,id,doi,veiculo,tipo_openalex,work_type,editora,pais,h_index_openalex,citedness_2a,motivo,classificado,titulo,veredito,razao
grains,grains_026,10.1088/1755-1315/1253/1/012001,IOP Conference Series Earth and Environmental Science,conference,conference-paper,IOP Publishing,GB,77,0.6015395064523432,no Scimago sem quartil ('-'),False,Toxicity and chemical compounds of Piper aduncum fruit extract against storage pest Sitophilus oryza,correto,anais de conferência
airline,airline_045,10.1063/5.0110640,AIP conference proceedings,journal,conference-paper,American Institute of Physics,US,128,0.48561529998361386,no Scimago sem quartil ('-'),False,Aircraft routes of domestic cargo transport based on the Indonesian National Logistics System,correto,anais de conferência
grains,grains_045,10.1051/e3sconf/202017505005,E3S Web of Conferences,journal,conference-paper,EDP Sciences,FR,60,1.040456026058632,no Scimago sem quartil ('-'),False,Performance analysis of the process of combine harvesting of grain crops,correto,anais de conferência
grains,grains_049,10.1051/e3sconf/202127307010,E3S Web of Conferences,journal,conference-paper,EDP Sciences,FR,60,1.040456026058632,no Scimago sem quartil ('-'),False,An integrated intelligent system for managing the efficiency of the production processes,correto,anais de conferência
grains,grains_055,10.1016/bs.hesagr.2022.03.001,Handbook of agricultural economics,book series,book-chapter,Elsevier BV,NL,33,0.0,periódico ausente do Scimago,True,"Food Waste: Farms, distributors, retailers, and households",correto,capítulo ou livro
airline,airline_066,10.1007/978-3-030-71704-9_45,Transactions on computational science and computational intelligence,book series,book-chapter,Springer International Publishing,CH,17,1.1818181818181819,periódico ausente do Scimago,True,An Analysis of Flight Delays at Taoyuan Airport,correto,capítulo ou livro
airline,airline_063,10.2514/6.2020-2853,AIAA AVIATION 2020 FORUM,journal,conference-paper,—,—,24,0.0,periódico ausente do Scimago,False,Econometric Analysis of Flight Times and the Effects of Performance Based Navigation,correto,anais de conferência
grains,grains_047,10.4236/as.2022.139061,Agricultural Sciences,journal,article,Scientific Research Publishing,US,46,0.6531531531531531,periódico ausente do Scimago,True,"Grain Hermetic Storage Adoption in Northern Uganda: Awareness, Use, and the Constraints to Technolog",periodico,"periódico de verdade, fora do Scopus ou recente"
grains,grains_042,10.24203/ajafs.v9i2.6615,Asian Journal of Agriculture and Food Sciences,journal,article,—,IN,12,0.0,periódico ausente do Scimago,False,Quality Deterioration of Postharvest Fruits and Vegetables in Developing Country Pakistan: A Mini Ov,periodico,"periódico de verdade, fora do Scopus ou recente"
grains,grains_004,10.1016/j.clfs.2026.100028,Cleaner Food Systems,journal,article,Elsevier BV,—,3,0.6440677966101694,periódico ausente do Scimago,True,Understanding the nexus of postharvest losses and food insecurity: Empirical evidence from Nigeria,periodico,"periódico de verdade, fora do Scopus ou recente"
grains,grains_010,10.47941/ijhss.2771,International Journal of Humanity and Social Sciences,journal,article,—,—,8,1.7954545454545454,periódico ausente do Scimago,False,Association between Household Socio-Demographic Factors and Postharvest Management Technologies Use ,periodico,"periódico de verdade, fora do Scopus ou recente"
grains,grains_005,10.64026/jssf/2026006,Journal of Smart and Sustainable Farming,journal,article,—,—,2,0.21428571428571427,periódico ausente do Scimago,True,Adoption Dynamics of Hermetic Storage Technology and Post Harvest Quality Outcomes in Maize Producti,periodico,"periódico de verdade, fora do Scopus ou recente"
airline,airline_044,10.55959/msu0130-0105-6-59-2-9,Lomonosov Economics Journal,journal,article,—,RU,13,0.8655913978494624,periódico ausente do Scimago,False,Determinants of entry on airline markets,periodico,"periódico de verdade, fora do Scopus ou recente"
grains,grains_062,10.31713/mcit.2024.073,Modeling Control and Information Technologies,journal,article,—,UA,5,0.16334661354581673,periódico ausente do Scimago,False,Convective-thermal drying simulation to reduce the damage of the grain in convective plants,periodico,"periódico de verdade, fora do Scopus ou recente"
airline,airline_048,10.5937/npdunp1802119r,Naucne publikacije Drzavnog univerziteta u Novom Pazaru Serija B Drustvene & humanisticke nauke,journal,article,Faculty of Agronomy in Čačak,RS,5,0.0,periódico ausente do Scimago,True,The evaluation of the Balkan countries results relative to establishing effective market competition,periodico,"periódico de verdade, fora do Scopus ou recente"
grains,grains_019,10.51470/plantarchives.2024.v24.sp-gabels.029,PLANT ARCHIVES,journal,article,Dr. R.S. Yadav,IN,21,0.15722222222222224,periódico ausente do Scimago,True,TESTING THE EFFECT OF HERBAL POWDERS ON GRAIN PARAMETERS IN STORED WHEAT IN THE PRESENCE OF SITOPHIL,periodico,"periódico de verdade, fora do Scopus ou recente"
grains,grains_016,10.58567/rea03040001,Review of Economic Assessment,journal,article,—,—,5,1.0606060606060606,periódico ausente do Scimago,True,Grain Trade: A Literature Review and Research Outlook,periodico,"periódico de verdade, fora do Scopus ou recente"
grains,grains_058,10.18378/rvads.v18i2.9586,Revista Verde de Agroecologia e Desenvolvimento Sustentável,journal,article,Grupo Verde de Agroecologia e Abelhas (GVAA),BR,18,0.4090909090909091,periódico ausente do Scimago,False,Sustentabilidade e segurança alimentar e nutricional,periodico,"periódico de verdade, fora do Scopus ou recente"
grains,grains_046,10.1051/shsconf/202521601068,SHS Web of Conferences,journal,conference-paper,EDP Sciences,FR,44,0.5304425304425304,periódico ausente do Scimago,True,Optimizing Supply Chain Management to Reduce Food Waste and Loss in Agriculture,correto,anais de conferência
grains,grains_044,10.26898/0370-8799-2020-4-11,Siberian Herald of Agricultural Science,journal,article,—,RU,7,0.2887700534759358,periódico ausente do Scimago,True,Interaction of vehicles with the grain pre-treatment point,periodico,"periódico de verdade, fora do Scopus ou recente"
airline,airline_s012,10.33119/sip.2025.201.2,Studia i Prace Kolegium Zarządzania i Finansów / Szkoła Główna Handlowa,journal,article,—,—,9,0.30864197530864196,periódico ausente do Scimago,True,Ryzyko biznesowe w pasażerskim lotnictwie cywilnym – w poszukiwaniu źródeł niestabilności sektora,periodico,"periódico de verdade, fora do Scopus ou recente"
grains,grains_s015,10.4314/tjs.v49i3.16,Tanzania Journal of Science,journal,article,African Journals OnLine,TZ,20,0.6683168316831684,periódico ausente do Scimago,True,Design of a Cooling System Integrated with Ultraviolet Light for Preservation of Fruits and Vegetabl,periodico,"periódico de verdade, fora do Scopus ou recente"
airline,airline_040,10.14295/transportes.v26i2.1379,Transportes,journal,article,Associação Nacional de Pesquisa e Ensino em Transportes,BR,15,0.32051282051282054,periódico ausente do Scimago,True,Modelo de identificação do impacto futuro de chuvas extremas nos atrasos/cancelamentos de voos,periodico,"periódico de verdade, fora do Scopus ou recente"
airline,airline_065,10.14295/transportes.v29i1.2236,Transportes,journal,article,Associação Nacional de Pesquisa e Ensino em Transportes,BR,15,0.32051282051282054,periódico ausente do Scimago,True,Antecipação de mudança de regime na fatia diária de voos atrasados e cancelados no aeroporto interna,periodico,"periódico de verdade, fora do Scopus ou recente"
airline,airline_008,10.5281/zenodo.10671654,RePEc: Research Papers in Economics,repository,preprint,Federal Reserve Bank of St. Louis,—,435,0.35097493036211697,periódico ausente do Scimago,True,Determinantes concorrenciais dos atrasos dos voos no aeroporto e na rota,correto,repositório de preprint
airline,airline_009,10.5281/zenodo.10671656,RePEc: Research Papers in Economics,repository,preprint,Federal Reserve Bank of St. Louis,—,435,0.35097493036211697,periódico ausente do Scimago,False,Impactos da Navega\c{c}\~ao Baseada em Performance nos Tempos de Voo da Avia\c{c}\~ao Comercial,correto,repositório de preprint
airline,airline_064,10.2139/ssrn.3100261,SSRN Electronic Journal,repository,preprint,RELX Group (Netherlands),US,448,0.2041949171737916,periódico ausente do Scimago,False,Airport Slots and the Internalization of Congestion by Airlines,correto,repositório de preprint
airline,airline_069,10.2139/ssrn.3253232,SSRN Electronic Journal,repository,preprint,RELX Group (Netherlands),US,448,0.2041949171737916,periódico ausente do Scimago,False,The Impact of Delays on Customers’ Satisfaction: An Empirical Analysis of the British Airways On-Tim,correto,repositório de preprint
airline,airline_s013,10.2139/ssrn.3184644,SSRN Electronic Journal,repository,preprint,RELX Group (Netherlands),US,448,0.2041949171737916,periódico ausente do Scimago,False,"Financial Distress, Survival Network Design and Airline Pricing: An Events Study of a Merger Between",correto,repositório de preprint
airline,airline_s017,10.2139/ssrn.4077552,SSRN Electronic Journal,repository,preprint,RELX Group (Netherlands),US,448,0.2041949171737916,periódico ausente do Scimago,False,The Role of Market Structure in Airline Mergers: Evaluating Alternative Causes of Delays,correto,repositório de preprint
grains,grains_032,10.2139/ssrn.4193379,SSRN Electronic Journal,repository,preprint,RELX Group (Netherlands),US,448,0.2041949171737916,periódico ausente do Scimago,False,Food Loss and Waste from Farm to Gate in Brazilian Soybean Production,correto,repositório de preprint
airline,airline_s014,10.13016/vgi6-awc2,University Libraries (University of Maryland),repository,dissertation,"University of Maryland, College Park",—,84,0.014720812182741117,periódico ausente do Scimago,False,Optimal Reassignment of Flights to Gates Focusing on Transfer Passengers,correto,tese ou dissertação
airline,airline_003,10.5281/zenodo.17506763,arXiv (Cornell University),repository,preprint,Cornell University,US,671,0.1818396461143945,periódico ausente do Scimago,True,Low-Cost Carriers in Aviation: Significance and Developments,correto,repositório de preprint
airline,airline_010,10.5281/zenodo.10671650,arXiv (Cornell University),repository,preprint,Cornell University,US,671,0.1818396461143945,periódico ausente do Scimago,True,Low costs na aviacao: importancia e desdobramentos,correto,repositório de preprint
airline,airline_011,10.5281/zenodo.10671658,arXiv (Cornell University),repository,preprint,Cornell University,US,671,0.1818396461143945,periódico ausente do Scimago,False,An\'alise das estrat\'egias de planejamento de tempos de voo pelas companhias a\'ereas,correto,repositório de preprint
airline,airline_s016,10.1007/978-3-662-54171-5_4,Angewandte Optimierung mit IBM ILOG CPLEX Optimization Studio,—,book-chapter,—,—,,,veículo não resolvido no OpenAlex,False,,correto,capítulo ou livro
grains,grains_s007,10.1201/9781003245384-34,Innovations in Agriculture for a Self-Reliant India,—,book-chapter,—,—,,,veículo não resolvido no OpenAlex,False,Post-harvest Management Through Convergence of Innovation and Technology,correto,capítulo ou livro
grains,grains_s018,10.1201/9781003055037-8,Mathematical Modeling and Computation of Real-Time Problems,—,book-chapter,—,—,,,veículo não resolvido no OpenAlex,False,Application of Optimization and Statistical Techniques in Post-Harvest Supply Chain,correto,capítulo ou livro
airline,airline_s008,10.1108/s2212-160920170000006006,The Economics of Airport Operations,—,book-chapter,—,—,,,veículo não resolvido no OpenAlex,False,Airport and Airline Relationship of Multiple Functional Structures,correto,capítulo ou livro
airline,airline_059,10.1108/s2212-160920170000006014,—,—,book-chapter,—,—,,,veículo não resolvido no OpenAlex,True,Low-Cost Carriers and Airports: A Complex Relationship,correto,capítulo ou livro
airline,airline_067,10.11606/d.12.2021.tde-19012022-204119,—,—,dissertation,—,—,,,veículo não resolvido no OpenAlex,True,Como as empresas aéreas respondem à saída de um competidor potencial: o caso da Avianca Brasil,correto,tese ou dissertação
airline,airline_s001,10.1201/9781003133087,—,—,book,—,—,,,veículo não resolvido no OpenAlex,False,Foreign Object Debris and Damage in Aviation,correto,capítulo ou livro
airline,airline_s021,10.3030/687772,—,—,—,—,—,,,veículo não resolvido no OpenAlex,False,,correto,"DOI de projeto (CORDIS), não é publicação"
grains,grains_056,10.1007/978-981-97-2795-7_12,—,—,book-chapter,—,—,,,veículo não resolvido no OpenAlex,True,"Enhancing Food Security, Safety, and Sustainability via the Application of Radiation Technology",correto,capítulo ou livro
grains,grains_059,10.1007/978-3-030-98067-2_172-1,—,—,book-chapter,—,—,,,veículo não resolvido no OpenAlex,True,The Role of Biotechnology in Climate Change Adaptation and Postharvest Loss Mitigation in Blueberrie,correto,capítulo ou livro
grains,grains_060,10.1007/978-3-031-06562-0_11,—,—,book-chapter,—,—,,,veículo não resolvido no OpenAlex,True,"Food Waste Biorefineries: Developments, Current Advances and Future Outlook",correto,capítulo ou livro
grains,grains_061,10.46632/rmc/2/4/29,—,—,article,—,—,,,veículo não resolvido no OpenAlex,True,Post-harvest losses in Indian maize amid increasing food insecurity Analysis using TOPSIS method,periodico,"periódico de verdade, fora do Scopus ou recente"
grains,grains_s016,10.58694/20.500.12479/2737,—,—,dissertation,—,—,,,veículo não resolvido no OpenAlex,True,Design of an evaporative cooling system integrated with ultraviolet light for preservation of fruits,correto,tese ou dissertação
grains,grains_s019,10.47749/t/unicamp.2023.1372938,—,—,dissertation,—,—,,,veículo não resolvido no OpenAlex,False,Electronic sensors for grain storage,correto,tese ou dissertação
