id,artigo,doi,link,titulo,veiculo,ano,editora,editora_estabelecida,quartil,status,o_que_fazer,arquivo_destino,veredito,razao
airline_s001,airline,10.1201/9781003133087,https://doi.org/10.1201/9781003133087,Foreign Object Debris and Damage in Aviation,,2022,,False,-,fechado,"sem via OA conhecida — acesso institucional, biblioteca ou pedido ao autor",pdf/airline_s001.pdf,correto,capítulo ou livro
airline_s021,airline,10.3030/687772,https://doi.org/10.3030/687772,,,2021,,False,-,fechado,"sem via OA conhecida — acesso institucional, biblioteca ou pedido ao autor",pdf/airline_s021.pdf,correto,"DOI de projeto (CORDIS), não é publicação"
airline_063,airline,10.2514/6.2020-2853,https://doi.org/10.2514/6.2020-2853,Econometric Analysis of Flight Times and the Effects of Performance Based Navigation,AIAA AVIATION 2020 FORUM,2020,,False,-,fechado,"sem via OA conhecida — acesso institucional, biblioteca ou pedido ao autor",pdf/airline_063.pdf,correto,anais de conferência
airline_045,airline,10.1063/5.0110640,https://doi.org/10.1063/5.0110640,Aircraft routes of domestic cargo transport based on the Indonesian National Logistics System,AIP conference proceedings,2023,American Institute of Physics,False,-,fechado,"sem via OA conhecida — acesso institucional, biblioteca ou pedido ao autor",pdf/airline_045.pdf,correto,anais de conferência
airline_s013,airline,10.2139/ssrn.3184644,https://doi.org/10.2139/ssrn.3184644,"Financial Distress, Survival Network Design and Airline Pricing: An Events Study of a Merger Between a Low-Cost and a Full-Service Carrier",SSRN Electronic Journal,2018,RELX Group (Netherlands),False,-,fechado,"sem via OA conhecida — acesso institucional, biblioteca ou pedido ao autor",pdf/airline_s013.pdf,correto,repositório de preprint
airline_s017,airline,10.2139/ssrn.4077552,https://doi.org/10.2139/ssrn.4077552,The Role of Market Structure in Airline Mergers: Evaluating Alternative Causes of Delays,SSRN Electronic Journal,2024,RELX Group (Netherlands),False,-,fechado,"sem via OA conhecida — acesso institucional, biblioteca ou pedido ao autor",pdf/airline_s017.pdf,correto,repositório de preprint
airline_048,airline,10.5937/npdunp1802119r,https://doi.org/10.5937/npdunp1802119r,The evaluation of the Balkan countries results relative to establishing effective market competition,Naucne publikacije Drzavnog univerziteta u Novom Pazaru Serija B Drustvene & humanisticke nauke,2018,Faculty of Agronomy in Čačak,False,-,oa_bloqueado,sem rota OA automática — tentar acesso institucional ou pedir ao autor,pdf/airline_048.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
airline_064,airline,10.2139/ssrn.3100261,https://doi.org/10.2139/ssrn.3100261,Airport Slots and the Internalization of Congestion by Airlines,SSRN Electronic Journal,2018,RELX Group (Netherlands),False,-,oa_bloqueado,sem rota OA automática — tentar acesso institucional ou pedir ao autor,pdf/airline_064.pdf,correto,repositório de preprint
airline_069,airline,10.2139/ssrn.3253232,https://doi.org/10.2139/ssrn.3253232,The Impact of Delays on Customers’ Satisfaction: An Empirical Analysis of the British Airways On-Time Performance at Heathrow Airport,SSRN Electronic Journal,2018,RELX Group (Netherlands),False,-,oa_bloqueado,sem rota OA automática — tentar acesso institucional ou pedir ao autor,pdf/airline_069.pdf,correto,repositório de preprint
airline_059,airline,10.1108/s2212-160920170000006014,https://doi.org/10.1108/s2212-160920170000006014,Low-Cost Carriers and Airports: A Complex Relationship,,2017,,True,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/airline_059.pdf,correto,capítulo ou livro
airline_067,airline,10.11606/d.12.2021.tde-19012022-204119,https://doi.org/10.11606/d.12.2021.tde-19012022-204119,Como as empresas aéreas respondem à saída de um competidor potencial: o caso da Avianca Brasil,,2021,,False,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/airline_067.pdf,correto,tese ou dissertação
airline_008,airline,10.5281/zenodo.10671654,https://doi.org/10.5281/zenodo.10671654,Determinantes concorrenciais dos atrasos dos voos no aeroporto e na rota,RePEc: Research Papers in Economics,2024,Federal Reserve Bank of St. Louis,False,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/airline_008.pdf,correto,repositório de preprint
airline_s012,airline,10.33119/sip.2025.201.2,https://doi.org/10.33119/sip.2025.201.2,Ryzyko biznesowe w pasażerskim lotnictwie cywilnym – w poszukiwaniu źródeł niestabilności sektora,Studia i Prace Kolegium Zarządzania i Finansów / Szkoła Główna Handlowa,2025,,False,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/airline_s012.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
airline_s008,airline,10.1108/s2212-160920170000006006,https://doi.org/10.1108/s2212-160920170000006006,Airport and Airline Relationship of Multiple Functional Structures,The Economics of Airport Operations,2017,,True,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/airline_s008.pdf,correto,capítulo ou livro
airline_066,airline,10.1007/978-3-030-71704-9_45,https://doi.org/10.1007/978-3-030-71704-9_45,An Analysis of Flight Delays at Taoyuan Airport,Transactions on computational science and computational intelligence,2021,Springer International Publishing,True,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/airline_066.pdf,correto,capítulo ou livro
airline_003,airline,10.5281/zenodo.17506763,https://doi.org/10.5281/zenodo.17506763,Low-Cost Carriers in Aviation: Significance and Developments,arXiv (Cornell University),2025,Cornell University,False,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/airline_003.pdf,correto,repositório de preprint
airline_010,airline,10.5281/zenodo.10671650,https://doi.org/10.5281/zenodo.10671650,Low costs na aviacao: importancia e desdobramentos,arXiv (Cornell University),2024,Cornell University,False,-,tem_texto,texto em mãos — falta ler a passagem e classificar em data/classify.json,pdf/airline_010.pdf,correto,repositório de preprint
airline_009,airline,10.5281/zenodo.10671656,https://doi.org/10.5281/zenodo.10671656,Impactos da Navega\c{c}\~ao Baseada em Performance nos Tempos de Voo da Avia\c{c}\~ao Comercial,RePEc: Research Papers in Economics,2024,Federal Reserve Bank of St. Louis,False,-,texto_incorreto,arquivo não bate com o título do registro — buscar de novo,pdf/airline_009.pdf,correto,repositório de preprint
airline_040,airline,10.14295/transportes.v26i2.1379,https://doi.org/10.14295/transportes.v26i2.1379,Modelo de identificação do impacto futuro de chuvas extremas nos atrasos/cancelamentos de voos,Transportes,2018,Associação Nacional de Pesquisa e Ensino em Transportes,False,-,texto_incorreto,arquivo não bate com o título do registro — buscar de novo,pdf/airline_040.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
airline_065,airline,10.14295/transportes.v29i1.2236,https://doi.org/10.14295/transportes.v29i1.2236,Antecipação de mudança de regime na fatia diária de voos atrasados e cancelados no aeroporto internacional de São Paulo/Guarulhos,Transportes,2021,Associação Nacional de Pesquisa e Ensino em Transportes,False,-,texto_incorreto,arquivo não bate com o título do registro — buscar de novo,pdf/airline_065.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
airline_011,airline,10.5281/zenodo.10671658,https://doi.org/10.5281/zenodo.10671658,An\'alise das estrat\'egias de planejamento de tempos de voo pelas companhias a\'ereas,arXiv (Cornell University),2024,Cornell University,False,-,texto_incorreto,arquivo não bate com o título do registro — buscar de novo,pdf/airline_011.pdf,correto,repositório de preprint
airline_s016,airline,10.1007/978-3-662-54171-5_4,https://doi.org/10.1007/978-3-662-54171-5_4,,Angewandte Optimierung mit IBM ILOG CPLEX Optimization Studio,2023,,True,-,texto_parcial,só página de rosto/abstract — buscar o texto completo por outra rota,pdf/airline_s016.pdf,correto,capítulo ou livro
airline_044,airline,10.55959/msu0130-0105-6-59-2-9,https://doi.org/10.55959/msu0130-0105-6-59-2-9,Determinants of entry on airline markets,Lomonosov Economics Journal,2024,,False,-,texto_parcial,só página de rosto/abstract — buscar o texto completo por outra rota,pdf/airline_044.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
airline_s014,airline,10.13016/vgi6-awc2,https://doi.org/10.13016/vgi6-awc2,Optimal Reassignment of Flights to Gates Focusing on Transfer Passengers,University Libraries (University of Maryland),2019,"University of Maryland, College Park",False,-,texto_parcial,só página de rosto/abstract — buscar o texto completo por outra rota,pdf/airline_s014.pdf,correto,tese ou dissertação
grains_s019,grains,10.47749/t/unicamp.2023.1372938,https://doi.org/10.47749/t/unicamp.2023.1372938,Electronic sensors for grain storage,,2023,,False,-,fechado,"sem via OA conhecida — acesso institucional, biblioteca ou pedido ao autor",pdf/grains_s019.pdf,correto,tese ou dissertação
grains_055,grains,10.1016/bs.hesagr.2022.03.001,https://doi.org/10.1016/bs.hesagr.2022.03.001,"Food Waste: Farms, distributors, retailers, and households",Handbook of agricultural economics,2022,Elsevier BV,True,-,fechado,"sem via OA conhecida — acesso institucional, biblioteca ou pedido ao autor",pdf/grains_055.pdf,correto,capítulo ou livro
grains_s007,grains,10.1201/9781003245384-34,https://doi.org/10.1201/9781003245384-34,Post-harvest Management Through Convergence of Innovation and Technology,Innovations in Agriculture for a Self-Reliant India,2021,,False,-,fechado,"sem via OA conhecida — acesso institucional, biblioteca ou pedido ao autor",pdf/grains_s007.pdf,correto,capítulo ou livro
grains_s018,grains,10.1201/9781003055037-8,https://doi.org/10.1201/9781003055037-8,Application of Optimization and Statistical Techniques in Post-Harvest Supply Chain,Mathematical Modeling and Computation of Real-Time Problems,2021,,False,-,fechado,"sem via OA conhecida — acesso institucional, biblioteca ou pedido ao autor",pdf/grains_s018.pdf,correto,capítulo ou livro
grains_042,grains,10.24203/ajafs.v9i2.6615,https://doi.org/10.24203/ajafs.v9i2.6615,Quality Deterioration of Postharvest Fruits and Vegetables in Developing Country Pakistan: A Mini Overview,Asian Journal of Agriculture and Food Sciences,2021,,False,-,oa_bloqueado,sem rota OA automática — tentar acesso institucional ou pedir ao autor,pdf/grains_042.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
grains_004,grains,10.1016/j.clfs.2026.100028,https://doi.org/10.1016/j.clfs.2026.100028,Understanding the nexus of postharvest losses and food insecurity: Empirical evidence from Nigeria,Cleaner Food Systems,2026,Elsevier BV,True,-,oa_bloqueado,sem rota OA automática — tentar acesso institucional ou pedir ao autor,pdf/grains_004.pdf,periodico,"periódico de verdade, fora do Scopus ou recente"
