editora,grande,id,artigo,doi,link,titulo,veiculo,ano,status,arquivo_destino
AIAA,True,airline_063,airline,10.2514/6.2020-2853,https://doi.org/10.2514/6.2020-2853,Econometric Analysis of Flight Times and the Effects of Performance Based Navigation,AIAA AVIATION 2020 FORUM,2020,fechado,pdf/airline_063.pdf
AIP,True,airline_045,airline,10.1063/5.0110640,https://doi.org/10.1063/5.0110640,Aircraft routes of domestic cargo transport based on the Indonesian National Logistics System,International Conference on Biomedical Engineering,2023,fechado,pdf/airline_045.pdf
CRC/Routledge,True,airline_s001,airline,10.1201/9781003133087,https://doi.org/10.1201/9781003133087,Foreign Object Debris and Damage in Aviation,,2022,fechado,pdf/airline_s001.pdf
CRC/Routledge,True,grains_s007,grains,10.1201/9781003245384-34,https://doi.org/10.1201/9781003245384-34,Post-harvest Management Through Convergence of Innovation and Technology,Innovations in Agriculture for a Self-Reliant India,2021,fechado,pdf/grains_s007.pdf
CRC/Routledge,True,grains_s018,grains,10.1201/9781003055037-8,https://doi.org/10.1201/9781003055037-8,Application of Optimization and Statistical Techniques in Post-Harvest Supply Chain,Mathematical Modeling and Computation of Real-Time Problems,2021,fechado,pdf/grains_s018.pdf
De Gruyter,True,airline_060,airline,10.1515/rne-2021-0016,https://doi.org/10.1515/rne-2021-0016,Competition and Schedule Padding in the US Airline Industry,Review of Network Economics,2021,fechado,pdf/airline_060.pdf
Emerald,True,airline_006,airline,10.1108/ejm-01-2023-0014,https://doi.org/10.1108/ejm-01-2023-0014,Incumbents’ marketing deterrence strategies and potential entrants’ time-to-entry: evidence from the US airlin,European Journal of Marketing,2024,fechado,pdf/airline_006.pdf
Emerald,True,airline_021,airline,10.1108/ejm-02-2021-0087,https://doi.org/10.1108/ejm-02-2021-0087,Incumbent defense strategies and new entrants market exit: the moderating role of relational market-based asse,European Journal of Marketing,2022,fechado,pdf/airline_021.pdf
Emerald,True,airline_059,airline,10.1108/s2212-160920170000006014,https://doi.org/10.1108/s2212-160920170000006014,Low-Cost Carriers and Airports: A Complex Relationship,,2017,texto_parcial,pdf/airline_059.pdf
Emerald,True,airline_s008,airline,10.1108/s2212-160920170000006006,https://doi.org/10.1108/s2212-160920170000006006,Airport and Airline Relationship of Multiple Functional Structures,The Economics of Airport Operations,2017,fechado,pdf/airline_s008.pdf
Emerald,True,grains_003,grains,10.1108/dta-08-2024-0806,https://doi.org/10.1108/dta-08-2024-0806,A decoupled methodology for process-aware post-harvest loss prediction,Data Technologies and Applications,2026,fechado,pdf/grains_003.pdf
Emerald,True,grains_030,grains,10.1108/afr-06-2022-0076,https://doi.org/10.1108/afr-06-2022-0076,Financial inclusion and post-harvest losses in West African economic and Monetary Union,Agricultural Finance Review,2022,fechado,pdf/grains_030.pdf
IOP,True,grains_026,grains,10.1088/1755-1315/1253/1/012001,https://doi.org/10.1088/1755-1315/1253/1/012001,Toxicity and chemical compounds of Piper aduncum fruit extract against storage pest Sitophilus oryzae and Call,IOP Conference Series: Earth and Environment,2023,texto_parcial,pdf/grains_026.pdf
Inderscience,True,airline_s004,airline,10.1504/ijsa.2016.080244,https://doi.org/10.1504/ijsa.2016.080244,Feasibility of green composite aircraft wing projects for unmanned aircraft vehicles,International Journal of Sustainable Aviation,2016,fechado,pdf/airline_s004.pdf
Inderscience,True,grains_s006,grains,10.1504/ijvcm.2023.10053852,https://doi.org/10.1504/ijvcm.2023.10053852,A study of Sustainable Agriculture Value Chain: a multi-method Research Perspective,International Journal of Value Chain Management,2023,fechado,pdf/grains_s006.pdf
Inderscience,True,grains_s010,grains,10.1504/ijpti.2025.10075141,https://doi.org/10.1504/ijpti.2025.10075141,Unpacking the harvest losses challenges to enhancing food security among farming communities in Southern Highl,International Journal of Postharvest Technology and Innovation,2026,fechado,pdf/grains_s010.pdf
SSRN,True,airline_064,airline,10.2139/ssrn.3100261,https://doi.org/10.2139/ssrn.3100261,Airport Slots and the Internalization of Congestion by Airlines,SSRN Electronic Journal,2018,oa_bloqueado,pdf/airline_064.pdf
SSRN,True,airline_069,airline,10.2139/ssrn.3253232,https://doi.org/10.2139/ssrn.3253232,The Impact of Delays on Customers’ Satisfaction: An Empirical Analysis of the British Airways On-Time Performa,SSRN Electronic Journal,2018,oa_bloqueado,pdf/airline_069.pdf
SSRN,True,airline_s013,airline,10.2139/ssrn.3184644,https://doi.org/10.2139/ssrn.3184644,"Financial Distress, Survival Network Design and Airline Pricing: An Events Study of a Merger Between a Low-Cos",SSRN Electronic Journal,2018,fechado,pdf/airline_s013.pdf
SSRN,True,airline_s017,airline,10.2139/ssrn.4077552,https://doi.org/10.2139/ssrn.4077552,The Role of Market Structure in Airline Mergers: Evaluating Alternative Causes of Delays,SSRN Electronic Journal,2024,fechado,pdf/airline_s017.pdf
