prioridade,editora,artigo,id,doi,link,veiculo,ano,titulo,status,arquivo_destino
1,De Gruyter,airline,airline_060,10.1515/rne-2021-0016,https://doi.org/10.1515/rne-2021-0016,Review of Network Economics,2021,Competition and Schedule Padding in the US Airline Industry,fechado,pdf/airline_060.pdf
2,Emerald,airline,airline_006,10.1108/ejm-01-2023-0014,https://doi.org/10.1108/ejm-01-2023-0014,European Journal of Marketing,2024,Incumbents’ marketing deterrence strategies and potential entrants’ time-to-entry: evidence from the US airline industry,fechado,pdf/airline_006.pdf
3,Emerald,airline,airline_021,10.1108/ejm-02-2021-0087,https://doi.org/10.1108/ejm-02-2021-0087,European Journal of Marketing,2022,Incumbent defense strategies and new entrants market exit: the moderating role of relational market-based assets,fechado,pdf/airline_021.pdf
4,Emerald,airline,airline_059,10.1108/s2212-160920170000006014,https://doi.org/10.1108/s2212-160920170000006014,,2017,Low-Cost Carriers and Airports: A Complex Relationship,texto_parcial,pdf/airline_059.pdf
5,Emerald,airline,airline_s008,10.1108/s2212-160920170000006006,https://doi.org/10.1108/s2212-160920170000006006,The Economics of Airport Operations,2017,Airport and Airline Relationship of Multiple Functional Structures,fechado,pdf/airline_s008.pdf
6,Emerald,grains,grains_003,10.1108/dta-08-2024-0806,https://doi.org/10.1108/dta-08-2024-0806,Data Technologies and Applications,2026,A decoupled methodology for process-aware post-harvest loss prediction,fechado,pdf/grains_003.pdf
7,Emerald,grains,grains_030,10.1108/afr-06-2022-0076,https://doi.org/10.1108/afr-06-2022-0076,Agricultural Finance Review,2022,Financial inclusion and post-harvest losses in West African economic and Monetary Union,fechado,pdf/grains_030.pdf
8,Springer,airline,airline_028,10.1007/s40305-020-00306-9,https://doi.org/10.1007/s40305-020-00306-9,Journal of the Operations Research Society of China,2020,Flight-Based Congestion Pricing Considering Equilibrium Flights in Airport Airside,texto_parcial,pdf/airline_028.pdf
9,Springer,grains,grains_s003,10.1007/s43621-026-04167-9,https://doi.org/10.1007/s43621-026-04167-9,Discover Sustainability,2026,"Marketing efficiency of agricultural cash crops and rural household welfare in South Gondar, Ethiopia",texto_parcial,pdf/grains_s003.pdf
10,Taylor & Francis,airline,airline_030,10.1080/03081060.2020.1701706,https://doi.org/10.1080/03081060.2020.1701706,Transportation Planning and Technology,2020,Airport airside congestion pricing considering price discrimination between aircraft type under a Stackelberg game,fechado,pdf/airline_030.pdf
11,Taylor & Francis,grains,grains_022,10.1080/15325008.2024.2316257,https://doi.org/10.1080/15325008.2024.2316257,Electric power components and systems,2024,Modeling and Control of an Indirect Solar Dryer in Forced Convection Mode Using System Identification and Model Predicti,fechado,pdf/grains_022.pdf
12,Taylor & Francis,grains,grains_s001,10.1080/14620316.2022.2091488,https://doi.org/10.1080/14620316.2022.2091488,The Journal of Horticultural Science and Biotechnology,2023,Application of nanotechnology for preventing postharvest losses of agriproducts,fechado,pdf/grains_s001.pdf
13,Wiley,airline,airline_057,10.1111/jbfa.12351,https://doi.org/10.1111/jbfa.12351,Journal of Business Finance &amp Accounting,2018,Causal language intensity in performance commentary and financial analyst behaviour,texto_parcial,pdf/airline_057.pdf
14,Wiley,grains,grains_014,10.1002/fes3.70086,https://doi.org/10.1002/fes3.70086,Food and Energy Security,2025,Losses in Agricultural Produce: Causes and Effects on Food Security,oa_antibot,pdf/grains_014.pdf
15,Wiley,grains,grains_027,10.1111/jfpe.14456,https://doi.org/10.1111/jfpe.14456,Journal of food process engineering,2023,Postharvest engineering: Effects of drying and storage operations on the quality of processed soybeans,fechado,pdf/grains_027.pdf
16,Wiley,grains,grains_029,10.1002/est2.461,https://doi.org/10.1002/est2.461,Energy Storage,2023,Comprehensive analysis of thermophysical properties of a binary stearyl alcohol and benzamide eutectic phase change mate,oa_antibot,pdf/grains_029.pdf
17,Wiley,grains,grains_054,10.1002/bse.3191,https://doi.org/10.1002/bse.3191,Business Strategy and the Environment,2022,Circular economy adoption challenges in the food supply chain for sustainable development,oa_antibot,pdf/grains_054.pdf
18,Wiley (Hindawi),grains,grains_006,10.1155/aia/5730172,https://doi.org/10.1155/aia/5730172,Advances in Agriculture,2026,Participatory Sustainability Indicators Reveal Systemic Weaknesses in Basic Grains Production in Central America,oa_antibot,pdf/grains_006.pdf
19,Wiley (Hindawi),grains,grains_007,10.1155/aia/3910210,https://doi.org/10.1155/aia/3910210,Advances in Agriculture,2026,Reducing Postharvest Losses in the Global South: A Meta‐Analytical Framework for Food Policy Intervention,oa_antibot,pdf/grains_007.pdf
